ranking,npsn,nama_sekolah,provinsi,kab_kota,jenis,akreditasi,indeks_sekolah,kuota_eligible
915,20517735,SMAN 1 SUMBERPUCUNG,JAWA TIMUR,KAB. MALANG,SMA,C,86.28,0.05
916,20217357,SMAN 1 PURWAKARTA,JAWA BARAT,KAB. PURWAKARTA,SMA,C,86.26,0.05
917,20302173,SMAN 1 SOKARAJA,JAWA TENGAH,KAB. BANYUMAS,SMA,C,86.25,0.05
918,20223042,SMAN 7 BEKASI,JAWA BARAT,KOTA BEKASI,SMA,C,86.23,0.05
919,20224510,SMA Negeri 2 Tasikmalaya,JAWA BARAT,KOTA TASIKMALAYA,SMA,C,86.22,0.05
920,20318342,SMA NEGERI 1 DONOROJO,JAWA TENGAH,KAB. JEPARA,SMA,C,86.2,0.05
921,50102078,SMAN 1 BLAHBATUH,BALI,KAB. GIANYAR,SMA,C,86.19,0.05
922,20103791,SMKN 10 JAKARTA,DKI JAKARTA,KOTA JAKARTA TIMUR,SMK,C,86.17,0.05
923,20102230,SMAN 108 JAKARTA,DKI JAKARTA,KOTA JAKARTA SELATAN,SMA,C,86.16,0.05
924,20402809,SMA NEGERI 1 LENDAH,DI YOGYAKARTA,KAB. KULON PROGO,SMA,C,86.14,0.05
925,40310213,SMAS ISLAM ATHIRAH,SULAWESI SELATAN,KOTA MAKASSAR,SMA,C,86.13,0.05
926,20102597,SMKN 8 JAKARTA,DKI JAKARTA,KOTA JAKARTA SELATAN,SMK,C,86.11,0.05
927,20363187,MAN PURWOREJO,JAWA TENGAH,KAB. PURWOREJO,MA,C,86.1,0.05
928,69774571,SMAS IT DARUT TAQWA,JAWA TIMUR,KAB. PONOROGO,SMA,C,86.08,0.05
929,20331953,SMAS MUHAMMADIYAH WONOSOBO,JAWA TENGAH,KAB. WONOSOBO,SMA,C,86.07,0.05
930,20511006,SMAN 1 NGADIROJO,JAWA TIMUR,KAB. PACITAN,SMA,C,86.05,0.05
931,20327973,SMAN 8 SURAKARTA,JAWA TENGAH,KOTA SURAKARTA,SMA,C,86.04,0.05
932,20511952,SMAN 1 PLEMAHAN,JAWA TIMUR,KAB. KEDIRI,SMA,C,86.02,0.05
933,10107310,SMAS LAB SCHOOL,ACEH,KOTA BANDA ACEH,SMA,C,86.01,0.05
934,20503372,SMK NEGERI 3 JOMBANG,JAWA TIMUR,KAB. JOMBANG,SMK,C,85.99,0.05
935,20100200,SMAN 7 JAKARTA,DKI JAKARTA,KOTA JAKARTA PUSAT,SMA,C,85.98,0.05
936,20227827,SMA TERPADU BAITURRAHMAN,JAWA BARAT,KAB. BANDUNG,SMA,C,85.96,0.05
937,10700669,SMAN 1 REJANG LEBONG,BENGKULU,KAB. REJANG LEBONG,SMA,C,85.95,0.05
938,20100812,SMAN 45 JAKARTA,DKI JAKARTA,KOTA JAKARTA UTARA,SMA,C,85.93,0.05
939,20277070,MAN 2 Kota Bandung,JAWA BARAT,KOTA BANDUNG,MA,C,85.92,0.05
940,30401516,SMKN 1 BALIKPAPAN,KALIMANTAN TIMUR,KOTA BALIKPAPAN,SMK,C,85.9,0.05
941,20546530,SMAS TUNAS LUHUR,JAWA TIMUR,KAB. PROBOLINGGO,SMA,C,85.89,0.05
942,20327935,SMAS BATIK 1 SURAKARTA,JAWA TENGAH,KOTA SURAKARTA,SMA,C,85.87,0.05
943,11002189,SMAS KARTINI,KEPULAUAN RIAU,KOTA BATAM,SMA,C,85.86,0.05
944,20536818,SMAN 2 BATU,JAWA TIMUR,KOTA BATU,SMA,C,85.84,0.05
945,20363027,MAN KOTA MAGELANG,JAWA TENGAH,KOTA MAGELANG,MA,C,85.83,0.05
946,20231303,SMAS NURUL HIKMAH,JAWA BARAT,KAB. BOGOR,SMA,C,85.81,0.05
947,10600905,SMAN 1 UNGGULAN MUARA ENIM,SUMATERA SELATAN,KAB. MUARA ENIM,SMA,C,85.8,0.05
948,10210864,SMAN 15 MEDAN,SUMATERA UTARA,KOTA MEDAN,SMA,C,85.78,0.05
949,20219141,SMKN 7 BANDUNG,JAWA BARAT,KOTA BANDUNG,SMK,C,85.77,0.05
950,20537011,SMAN 1 KEBOMAS,JAWA TIMUR,KAB. GRESIK,SMA,C,85.75,0.05
951,20532262,SMAN 8 SURABAYA,JAWA TIMUR,KOTA SURABAYA,SMA,C,85.74,0.05
952,30315160,MAN 2 SAMARINDA,KALIMANTAN TIMUR,KOTA SAMARINDA,MA,C,85.72,0.05
953,10807070,SMAN 9 BANDAR LAMPUNG,LAMPUNG,KOTA BANDAR LAMPUNG,SMA,C,85.71,0.05
954,20326490,SMAN 1 BUMIAYU,JAWA TENGAH,KAB. BREBES,SMA,C,85.69,0.05
955,30203478,SMAN 2 PALANGKA RAYA,KALIMANTAN TENGAH,KOTA PALANGKA RAYA,SMA,C,85.68,0.05
956,20407372,SMAS TERPADU BINA UMAT,DI YOGYAKARTA,KAB. SLEMAN,SMA,C,85.66,0.05
957,20306174,SMAN 4 PURWOREJO,JAWA TENGAH,KAB. PURWOREJO,SMA,C,85.65,0.05
958,69728578,SMAS IT AL FIDAA,JAWA BARAT,KAB. BEKASI,SMA,C,85.63,0.05
959,20103302,SMAN 76 JAKARTA,DKI JAKARTA,KOTA JAKARTA TIMUR,SMA,C,85.62,0.05
960,20311331,SMAN 2 WONOGIRI,JAWA TENGAH,KAB. WONOGIRI,SMA,C,85.6,0.05
961,10603844,SMA NEGERI 03 PALEMBANG,SUMATERA SELATAN,KOTA PALEMBANG,SMA,C,85.59,0.05
962,20324212,SMAN 2 PEMALANG,JAWA TENGAH,KAB. PEMALANG,SMA,C,85.57,0.05
963,20535098,SMKN 2 BLITAR,JAWA TIMUR,KOTA BLITAR,SMK,C,85.56,0.05
964,20500481,SMAN 1 CERME,JAWA TIMUR,KAB. GRESIK,SMA,C,85.54,0.05
965,20502721,SMAN 1 GEDEG,JAWA TIMUR,KAB. MOJOKERTO,SMA,C,85.53,0.05
966,20501698,SMAN 1 WONOAYU,JAWA TIMUR,KAB. SIDOARJO,SMA,C,85.51,0.05
967,20177926,MAN 11 JAKARTA,DKI JAKARTA,KOTA JAKARTA SELATAN,MA,C,85.5,0.05
968,69763270,SMAS IT BAITUL MUSLIM,LAMPUNG,KAB. LAMPUNG TIMUR,SMA,C,85.48,0.05
969,69950015,SMA Islam Terpadu Granada,KALIMANTAN TIMUR,KOTA SAMARINDA,SMA,C,85.47,0.05
970,20309672,SMKN 1 PEDAN,JAWA TENGAH,KAB. KLATEN,SMK,C,85.45,0.05
971,60300625,SMAN 1 MERAUKE,PAPUA,KAB. MERAUKE,SMA,C,85.44,0.05
972,20538321,SMAN 1 NGANJUK,JAWA TIMUR,KAB. NGANJUK,SMA,C,85.42,0.05
973,20606856,SMAS YUPPENTEK 1,BANTEN,KOTA TANGERANG,SMA,C,85.41,0.05
974,20503375,SMK NEGERI 1 JOMBANG,JAWA TIMUR,KAB. JOMBANG,SMK,C,85.39,0.05
975,20606851,SMAN 11 TANGERANG,BANTEN,KOTA TANGERANG,SMA,C,85.38,0.05
976,20232396,SMAS PGRI CIBINONG,JAWA BARAT,KAB. BOGOR,SMA,C,85.36,0.05
977,20503407,SMA NEGERI NGORO,JAWA TIMUR,KAB. JOMBANG,SMA,C,85.35,0.05
978,20536297,SMAN 2 PROBOLINGGO,JAWA TIMUR,KOTA PROBOLINGGO,SMA,C,85.33,0.05
979,69760562,SMAN 18 BEKASI,JAWA BARAT,KOTA BEKASI,SMA,C,85.32,0.05
980,20517766,SMKN 1 SINGOSARI,JAWA TIMUR,KAB. MALANG,SMK,C,85.3,0.05
981,20363028,MAN 1 KOTA PEKALONGAN,JAWA TENGAH,KOTA PEKALONGAN,MA,C,85.29,0.05
982,20232371,SMAN 1 TAJURHALANG,JAWA BARAT,KAB. BOGOR,SMA,C,85.27,0.05
983,20103781,SMKN 51 JAKARTA,DKI JAKARTA,KOTA JAKARTA TIMUR,SMK,C,85.26,0.05
984,20508492,SMAN 2 NGAWI,JAWA TIMUR,KAB. NGAWI,SMA,C,85.24,0.05
985,20540064,SMAS MUHAMMADIYAH 2,JAWA TIMUR,KAB. SIDOARJO,SMA,C,85.23,0.05
986,20221590,SMAS MARDI YUANA,JAWA BARAT,KOTA SUKABUMI,SMA,C,85.21,0.05
987,20223019,SMAN 10 BEKASI,JAWA BARAT,KOTA BEKASI,SMA,C,85.2,0.05
988,20606848,SMAN 2 TANGERANG,BANTEN,KOTA TANGERANG,SMA,C,85.18,0.05
989,50101706,SMAN 1 KUTA SELATAN,BALI,KAB. BADUNG,SMA,C,85.17,0.05
990,30401066,SMA Negeri 1 Samarinda,KALIMANTAN TIMUR,KOTA SAMARINDA,SMA,C,85.15,0.05
991,20503411,SMA NEGERI BARENG,JAWA TIMUR,KAB. JOMBANG,SMA,C,85.14,0.05
992,20314906,SMAN 2 CEPU,JAWA TENGAH,KAB. BLORA,SMA,C,85.12,0.05
993,20221559,SMAN 1 SUKABUMI,JAWA BARAT,KOTA SUKABUMI,SMA,C,85.11,0.05
994,20542496,SMAN 1 DURENAN,JAWA TIMUR,KAB. TRENGGALEK,SMA,C,85.09,0.05
995,20537286,SMKN 1 BOYOLANGU,JAWA TIMUR,KAB. TULUNGAGUNG,SMK,C,85.08,0.05
996,10403902,SMK NEGERI 1 PEKANBARU,RIAU,KOTA PEKANBARU,SMK,C,85.06,0.05
997,20313849,SMAN 1 GUBUG,JAWA TENGAH,KAB. GROBOGAN,SMA,C,85.05,0.05
998,10901104,SMAN 1 PANGKAL PINANG,KEPULAUAN BANGKA BELITUNG,KOTA PANGKALPINANG,SMA,C,85.03,0.05
999,20580755,MAN KOTA SURABAYA,JAWA TIMUR,KOTA SURABAYA,MA,C,85.02,0.05
1000,20303985,SMAN 1 BAWANG,JAWA TENGAH,KAB. BANJARNEGARA,SMA,C,85.0,0.05
