ranking,npsn,nama_sekolah,provinsi,kab_kota,jenis,akreditasi,indeks_sekolah,kuota_eligible
545,50102081,SMAN 1 SUKAWATI,BALI,KAB. GIANYAR,SMA,C,91.83,0.05
546,20532218,SMAN 18 SURABAYA,JAWA TIMUR,KOTA SURABAYA,SMA,C,91.82,0.05
547,10206580,SMAN 1 MATAULI PANDAN,SUMATERA UTARA,KAB. TAPANULI TENGAH,SMA,C,91.8,0.05
548,20309681,SMAN 1 JOGONALAN,JAWA TENGAH,KAB. KLATEN,SMA,C,91.79,0.05
549,10211702,SMAN 4 PEMATANG SIANTAR,SUMATERA UTARA,KOTA PEMATANGSIANTAR,SMA,C,91.77,0.05
550,20101621,SMAN 23 JAKARTA,DKI JAKARTA,KOTA JAKARTA BARAT,SMA,C,91.76,0.05
551,20307677,SMAN 1 DUKUN,JAWA TENGAH,KAB. MAGELANG,SMA,C,91.74,0.05
552,69961248,SMA IT PUTRI AL HANIF,BANTEN,KOTA CILEGON,SMA,C,91.73,0.05
553,20324216,SMAN 1 PEMALANG,JAWA TENGAH,KAB. PEMALANG,SMA,C,91.71,0.05
554,20503408,SMA NEGERI MOJOAGUNG,JAWA TIMUR,KAB. JOMBANG,SMA,C,91.7,0.05
555,20508480,SMAN 1 NGAWI,JAWA TIMUR,KAB. NGAWI,SMA,C,91.68,0.05
556,10498808,MAN 1 PEKANBARU,RIAU,KOTA PEKANBARU,MA,C,91.67,0.05
557,50103117,SMKN 2 DENPASAR,BALI,KOTA DENPASAR,SMK,C,91.65,0.05
558,20606271,SMAN 2 KRAKATAU STEEL CILEGON,BANTEN,KOTA CILEGON,SMA,C,91.64,0.05
559,20606542,SMAS BUDI LUHUR,BANTEN,KOTA TANGERANG,SMA,C,91.62,0.05
560,20533803,SMKS TELKOM SANDHY PUTRA,JAWA TIMUR,KOTA MALANG,SMK,C,91.61,0.05
561,69992187,SMA AL WAFI IBS,JAWA BARAT,KAB. BOGOR,SMA,C,91.59,0.05
562,10210856,SMAN 3 MEDAN,SUMATERA UTARA,KOTA MEDAN,SMA,C,91.58,0.05
563,20605093,SMAN 1 KOTA SERANG,BANTEN,KOTA SERANG,SMA,C,91.56,0.05
564,20534120,SMAN 5 MADIUN,JAWA TIMUR,KOTA MADIUN,SMA,C,91.55,0.05
565,11003325,MAN BATAM,KEPULAUAN RIAU,KOTA BATAM,MA,C,91.53,0.05
566,20100803,SMAN 111 JAKARTA,DKI JAKARTA,KOTA JAKARTA UTARA,SMA,C,91.52,0.05
567,20623317,MAN 1 KOTA TANGERANG SELATAN,BANTEN,KOTA TANGERANG SELATAN,MA,C,91.5,0.05
568,20223068,SMAS PANGUDI LUHUR II,JAWA BARAT,KOTA BEKASI,SMA,C,91.49,0.05
569,20318343,SMA NEGERI 1 JEPARA,JAWA TENGAH,KAB. JEPARA,SMA,C,91.47,0.05
570,60403474,SMAS AVEROS,PAPUA BARAT,KOTA SORONG,SMA,C,91.46,0.05
571,20504478,SMAN 2 BOJONEGORO,JAWA TIMUR,KAB. BOJONEGORO,SMA,C,91.44,0.05
572,20224511,SMA NEGERI 1 TASIKMALAYA,JAWA BARAT,KOTA TASIKMALAYA,SMA,C,91.43,0.05
573,20223067,SMAS ISLAM PANGLIMA BESAR SOEDIRMAN,JAWA BARAT,KOTA BEKASI,SMA,C,91.41,0.05
574,20538394,SMAN 1 KERTOSONO,JAWA TIMUR,KAB. NGANJUK,SMA,C,91.4,0.05
575,20540294,SMA DARUL ULUM 2 UNGGULAN BPPT,JAWA TIMUR,KAB. JOMBANG,SMA,C,91.38,0.05
576,69765014,SMAS ALBANNA,BALI,KOTA DENPASAR,SMA,C,91.37,0.05
