Ranking,NPSN,Sekolah,Provinsi,Kab Kota,Jenis
746,20219257,SMAN 10 BANDUNG,JAWA BARAT,KOTA BANDUNG,SMA
747,20531146,SMAN 1 BANGKALAN,JAWA TIMUR,KAB. BANGKALAN,SMA
748,50103632,SMAN 8 DENPASAR,BALI,KOTA DENPASAR,SMA
749,20317499,SMKN 1 KUDUS,JAWA TENGAH,KAB. KUDUS,SMK
750,20107306,SMAS ISLAM AL-AZHAR 3 JAKARTA,DKI JAKARTA,KOTA JAKARTA SELATAN,SMA
751,20533813,SMKN 1 MALANG,JAWA TIMUR,KOTA MALANG,SMK
752,10303090,SMA N 1 PASAMAN,SUMATERA BARAT,KAB. PASAMAN BARAT,SMA
753,20320244,SMA NEGERI 1 TENGARAN,JAWA TENGAH,KAB. SEMARANG,SMA
754,10263753,MAS KMI DINIYAH PUTERI,SUMATERA BARAT,KOTA PADANG PANJANG,MA
755,20532232,SMAN 21 SURABAYA,JAWA TIMUR,KOTA SURABAYA,SMA
756,20107289,SMA CHARITAS,DKI JAKARTA,KOTA JAKARTA SELATAN,SMA
757,20403144,SMAS SANTA MARIA,DI YOGYAKARTA,KOTA YOGYAKARTA,SMA
758,20231717,SMAS NASIONAL 1,JAWA BARAT,KOTA BEKASI,SMA
759,20238003,SMAS AL - MUSLIM,JAWA BARAT,KAB. BEKASI,SMA
760,30304280,SMAN 1 BANJARMASIN,KALIMANTAN SELATAN,KOTA BANJARMASIN,SMA
761,10303781,SMAN 1 SOLOK,SUMATERA BARAT,KOTA SOLOK,SMA
762,20220316,SMAS PESAT,JAWA BARAT,KOTA BOGOR,SMA
763,20313845,SMAN 1 PURWODADI,JAWA TENGAH,KAB. GROBOGAN,SMA
764,20510100,SMKN 1 PONOROGO,JAWA TIMUR,KAB. PONOROGO,SMK
765,20613768,SMAN 6 KOTA TANGERANG SELATAN,BANTEN,KOTA TANGERANG SELATAN,SMA
766,20403295,SMKN 7 YOGYAKARTA,DI YOGYAKARTA,KOTA YOGYAKARTA,SMK
767,20514351,SMAN 1 GARUM,JAWA TIMUR,KAB. BLITAR,SMA
768,20331899,SMA DON BOSKO,JAWA TENGAH,KOTA SEMARANG,SMA
769,20218378,SMAN 1 CIKARANG SELATAN,JAWA BARAT,KAB. BEKASI,SMA
770,20224112,SMA NEGERI 5 CIMAHI,JAWA BARAT,KOTA CIMAHI,SMA
771,20101605,SMAN 56 JAKARTA,DKI JAKARTA,KOTA JAKARTA BARAT,SMA
772,20521711,SMAN 2 BONDOWOSO,JAWA TIMUR,KAB. BONDOWOSO,SMA
773,10203537,SMAN 1 SIDIKALANG,SUMATERA UTARA,KAB. DAIRI,SMA
774,20107589,SMAS GLOBAL ISLAMIC SCHOOL,DKI JAKARTA,KOTA JAKARTA TIMUR,SMA
775,20101583,SMAN 96 JAKARTA,DKI JAKARTA,KOTA JAKARTA BARAT,SMA
776,20534385,SMA NEGERI 5 TARUNA BRAWIJAYA JAWA TIMUR,JAWA TIMUR,KOTA KEDIRI,SMA
777,20532211,SMKN 5 SURABAYA,JAWA TIMUR,KOTA SURABAYA,SMK
778,20517732,SMAN 1 PAGAK,JAWA TIMUR,KAB. MALANG,SMA
