Ranking,NPSN,Sekolah,Provinsi,Kab Kota,Jenis
1,20623314,MAN INSAN CENDEKIA SERPONG,BANTEN,KOTA TANGERANG SELATAN,MA
2,20532145,SMA KATOLIK ST.LOUIS 1,JAWA TIMUR,KOTA SURABAYA,SMA
3,69978389,SMA PRADITA DIRGANTARA,JAWA TENGAH,KAB. BOYOLALI,SMA
4,69941723,MAN INSAN CENDEKIA PEKALONGAN,JAWA TENGAH,KOTA PEKALONGAN,MA
5,20102568,SMAN 8 JAKARTA,DKI JAKARTA,KOTA JAKARTA SELATAN,SMA
6,20107313,SMA LABSCHOOL KEBAYORAN,DKI JAKARTA,KOTA JAKARTA SELATAN,SMA
7,20100170,SMAS KANISIUS JAKARTA,DKI JAKARTA,KOTA JAKARTA PUSAT,SMA
8,20101622,SMAN 2 JAKARTA,DKI JAKARTA,KOTA JAKARTA BARAT,SMA
9,20219730,SMAS BPK 1 PENABUR BANDUNG,JAWA BARAT,KOTA BANDUNG,SMA
10,20100199,SMAN 68 JAKARTA,DKI JAKARTA,KOTA JAKARTA PUSAT,SMA
11,20403161,SMAN 8 YOGYAKARTA,DI YOGYAKARTA,KOTA YOGYAKARTA,SMA
12,10263538,SMAS UNGGUL DEL,SUMATERA UTARA,KAB. TOBA,SMA
13,20403174,SMAN 1 YOGYAKARTA,DI YOGYAKARTA,KOTA YOGYAKARTA,SMA
14,20107319,SMAN 28 JAKARTA,DKI JAKARTA,KOTA JAKARTA SELATAN,SMA
15,20403178,SMAN 3 YOGYAKARTA,DI YOGYAKARTA,KOTA YOGYAKARTA,SMA
16,20103301,SMAN 81 JAKARTA,DKI JAKARTA,KOTA JAKARTA TIMUR,SMA
17,20100601,SMAS KRISTEN 5 BPK PENABUR,DKI JAKARTA,KOTA JAKARTA UTARA,SMA
18,20401146,SMAN 1 GODEAN,DI YOGYAKARTA,KAB. SLEMAN,SMA
19,20580050,MAN 2 KOTA MALANG,JAWA TIMUR,KOTA MALANG,MA
20,69975889,MAN INSAN CENDEKIA KOTA BATAM,KEPULAUAN RIAU,KOTA BATAM,MA
21,20403171,SMAN 6 YOGYAKARTA,DI YOGYAKARTA,KOTA YOGYAKARTA,SMA
22,20103283,SMAN 21 JAKARTA,DKI JAKARTA,KOTA JAKARTA TIMUR,SMA
23,20103307,SMAN 61 JAKARTA,DKI JAKARTA,KOTA JAKARTA TIMUR,SMA
24,30315142,SMAN BANUA KAL SEL,KALIMANTAN SELATAN,KAB. BANJAR,SMA
25,20603357,SMAS KRISTEN BPK PENABUR GADING SERPONG,BANTEN,KAB. TANGERANG,SMA
26,20102214,SMAN 34 JAKARTA,DKI JAKARTA,KOTA JAKARTA SELATAN,SMA
27,20103314,SMAN 48 JAKARTA,DKI JAKARTA,KOTA JAKARTA TIMUR,SMA
28,20328915,SMAS KOLESE LOYOLA,JAWA TENGAH,KOTA SEMARANG,SMA
29,20279931,SMAS AL-IRSYAD SATYA,JAWA BARAT,KAB. BANDUNG BARAT,SMA
30,20108383,SMAS SANTA URSULA,DKI JAKARTA,KOTA JAKARTA PUSAT,SMA
31,69856916,SMA IGNATIUS GLOBAL SCHOOL (IGS) PALEMBANG,SUMATERA SELATAN,KOTA PALEMBANG,SMA
32,20101588,SMAN 78 JAKARTA,DKI JAKARTA,KOTA JAKARTA BARAT,SMA
33,20219263,SMAS ALLOYSIUS 1,JAWA BARAT,KOTA BANDUNG,SMA
34,20247147,SMAS PESANTREN UNGGUL AL BAYAN,JAWA BARAT,KAB. SUKABUMI,SMA
35,60728785,MAN Insan Cendekia Gorontalo,GORONTALO,KAB. BONE BOLANGO,MA
36,20102193,SMAN 47 JAKARTA,DKI JAKARTA,KOTA JAKARTA SELATAN,SMA
37,10507942,MAN INSAN CENDEKIA JAMBI,JAMBI,KAB. MUARO JAMBI,MA
38,20102218,SMAN 26 JAKARTA,DKI JAKARTA,KOTA JAKARTA SELATAN,SMA
39,20103223,SMAS LABSCHOOL JAKARTA,DKI JAKARTA,KOTA JAKARTA TIMUR,SMA
40,69978962,MAN INSAN CENDEKIA PASURUAN,JAWA TIMUR,KAB. PASURUAN,MA
41,20401145,SMAN 1 KALASAN,DI YOGYAKARTA,KAB. SLEMAN,SMA
42,20401124,SMAN 1 SLEMAN,DI YOGYAKARTA,KAB. SLEMAN,SMA
43,20220343,SMAS REGINA PACIS,JAWA BARAT,KOTA BOGOR,SMA
44,20402126,SMAN 1 WONOSARI,DI YOGYAKARTA,KAB. GUNUNG KIDUL,SMA
45,20103303,SMAN 71 JAKARTA,DKI JAKARTA,KOTA JAKARTA TIMUR,SMA
46,20103285,SMAN 12 JAKARTA,DKI JAKARTA,KOTA JAKARTA TIMUR,SMA
47,20101589,SMAN 65 JAKARTA,DKI JAKARTA,KOTA JAKARTA BARAT,SMA
48,20532248,SMAN 5 SURABAYA,JAWA TIMUR,KOTA SURABAYA,SMA
49,60724799,SMAS DARMA YUDHA,RIAU,KOTA PEKANBARU,SMA
50,69983368,MAN INSAN CENDEKIA PADANG PARIAMAN,SUMATERA BARAT,KAB. PADANG PARIAMAN,MA
51,20401156,SMAS KOLESE DE BRITTO DEPOK,DI YOGYAKARTA,KAB. SLEMAN,SMA
52,20253599,SMAS PENABUR,JAWA BARAT,KOTA BEKASI,SMA
53,20102212,SMAN 38 JAKARTA,DKI JAKARTA,KOTA JAKARTA SELATAN,SMA
54,20102592,SMAN 49 JAKARTA,DKI JAKARTA,KOTA JAKARTA SELATAN,SMA
55,20401161,SMAN 1 DEPOK,DI YOGYAKARTA,KAB. SLEMAN,SMA
56,20403170,SMAN 7 YOGYAKARTA,DI YOGYAKARTA,KOTA YOGYAKARTA,SMA
57,20403375,MAN 1 YOGYAKARTA,DI YOGYAKARTA,KOTA YOGYAKARTA,MA
58,20103296,SMAN 39 JAKARTA,DKI JAKARTA,KOTA JAKARTA TIMUR,SMA
59,20403180,SMAN 5 YOGYAKARTA,DI YOGYAKARTA,KOTA YOGYAKARTA,SMA
60,20400405,SMA NEGERI 1 BANTUL,DI YOGYAKARTA,KAB. BANTUL,SMA
61,69941607,MAN Insan Cendekia Oki,SUMATERA SELATAN,KAB. OGAN KOMERING ILIR,MA
62,10310903,SMAN 1 SUMATERA BARAT,SUMATERA BARAT,KOTA PADANG PANJANG,SMA
63,20533654,SMAS K KOLESE ST YUSUP,JAWA TIMUR,KOTA MALANG,SMA
64,20403162,SMAN 9 YOGYAKARTA,DI YOGYAKARTA,KOTA YOGYAKARTA,SMA
65,20402794,SMA NEGERI 1 WATES,DI YOGYAKARTA,KAB. KULON PROGO,SMA
66,20219327,SMAN 3 BANDUNG,JAWA BARAT,KOTA BANDUNG,SMA
67,20103256,SMAN 99 JAKARTA,DKI JAKARTA,KOTA JAKARTA TIMUR,SMA
68,69986890,SMA UNGGULAN CT ARSA FOUNDATION SUKOHARJO,JAWA TENGAH,KAB. SUKOHARJO,SMA
69,20607991,SMA ISLAM NURUL FIKRI,BANTEN,KAB. SERANG,SMA
70,10603858,SMA NEGERI 17 PALEMBANG,SUMATERA SELATAN,KOTA PALEMBANG,SMA
71,20102570,SMAN 70 JAKARTA,DKI JAKARTA,KOTA JAKARTA SELATAN,SMA
72,20103284,SMAN 14 JAKARTA,DKI JAKARTA,KOTA JAKARTA TIMUR,SMA
73,20107299,SMAS GONZAGA JAKARTA,DKI JAKARTA,KOTA JAKARTA SELATAN,SMA
74,20400373,SMA NEGERI 1 SANDEN,DI YOGYAKARTA,KAB. BANTUL,SMA
75,10303461,SMAN 1 PADANG,SUMATERA BARAT,KOTA PADANG,SMA
76,69760753,SMAS IT IBNU ABBAS,JAWA TENGAH,KAB. KLATEN,SMA
77,69873999,SMA KRISTEN PENABUR KOTA WISATA,JAWA BARAT,KAB. BOGOR,SMA
78,69949652,SMA Muhammadiyah Program Khusus Kottabarat Surakarta,JAWA TENGAH,KOTA SURAKARTA,SMA
79,20258396,SMAS IT AS-SYIFA BOARDING SCHOOL,JAWA BARAT,KAB. SUBANG,SMA
80,20219728,SMAS BPK 2 PENABUR,JAWA BARAT,KOTA BANDUNG,SMA
81,20606507,SMAS UPH COLLEGE,BANTEN,KAB. TANGERANG,SMA
82,10303611,SMAN 1 PADANG PANJANG,SUMATERA BARAT,KOTA PADANG PANJANG,SMA
83,20307644,SMAS PANGUDI LUHUR VAN LITH,JAWA TENGAH,KAB. MAGELANG,SMA
84,20101623,SMAN 19 JAKARTA,DKI JAKARTA,KOTA JAKARTA BARAT,SMA
85,20327563,SMAN 1 MAGELANG,JAWA TENGAH,KOTA MAGELANG,SMA
86,20306202,SMAN 1 PURWOREJO,JAWA TENGAH,KAB. PURWOREJO,SMA
87,20100806,SMAN 13 JAKARTA,DKI JAKARTA,KOTA JAKARTA UTARA,SMA
88,20615025,SMAS PENABUR BINTARO,BANTEN,KOTA TANGERANG SELATAN,SMA
89,20277085,MAS ZAKARIA,JAWA BARAT,KOTA BANDUNG,MA
90,20219266,SMAS ST ANGELA,JAWA BARAT,KOTA BANDUNG,SMA
91,69976494,MAN INSAN CENDEKIA TANAH LAUT,KALIMANTAN SELATAN,KAB. TANAH LAUT,MA
92,20307641,SMAS TARUNA NUSANTARA,JAWA TENGAH,KAB. MAGELANG,SMA
93,20328447,SMAN 1 SALATIGA,JAWA TENGAH,KOTA SALATIGA,SMA
94,20219269,SMAS TARUNA BAKTI,JAWA BARAT,KOTA BANDUNG,SMA
95,69978966,MAN INSAN CENDEKIA LOMBOK TIMUR,NUSA TENGGARA BARAT,KAB. LOMBOK TIMUR,MA
96,20103292,SMAN 103 JAKARTA,DKI JAKARTA,KOTA JAKARTA TIMUR,SMA
97,20107304,SMAS ISLAM AL-AZHAR 1 JAKARTA,DKI JAKARTA,KOTA JAKARTA SELATAN,SMA
98,10259371,SMAS METHODIST 3 MEDAN,SUMATERA UTARA,KOTA MEDAN,SMA
99,20238524,SMK-SMAK BOGOR,JAWA BARAT,KOTA BOGOR,SMK
100,20102571,SMAN 66 JAKARTA,DKI JAKARTA,KOTA JAKARTA SELATAN,SMA
101,20102563,SMAN 90 JAKARTA,DKI JAKARTA,KOTA JAKARTA SELATAN,SMA
102,20401130,SMAN 1 MLATI,DI YOGYAKARTA,KAB. SLEMAN,SMA
103,20363082,MAN 2 KUDUS,JAWA TENGAH,KAB. KUDUS,MA
104,20533660,SMAN 1,JAWA TIMUR,KOTA MALANG,SMA
105,20101626,SMAN 112 JAKARTA,DKI JAKARTA,KOTA JAKARTA BARAT,SMA
106,20103309,SMAN 58 JAKARTA,DKI JAKARTA,KOTA JAKARTA TIMUR,SMA
107,20103278,SMAN 91 JAKARTA,DKI JAKARTA,KOTA JAKARTA TIMUR,SMA
108,69941598,MAN INSAN CENDEKIA SIAK,RIAU,KAB. SIAK,MA
109,20265518,SMAS ALFA CENTAURI,JAWA BARAT,KOTA BANDUNG,SMA
110,20327966,SMAN 1 SURAKARTA,JAWA TENGAH,KOTA SURAKARTA,SMA
111,20102575,SMAN 55 JAKARTA,DKI JAKARTA,KOTA JAKARTA SELATAN,SMA
112,20223075,SMAS MARSUDIRINI,JAWA BARAT,KOTA BEKASI,SMA
113,20503414,SMA NEGERI 2 JOMBANG,JAWA TIMUR,KAB. JOMBANG,SMA
114,20328895,SMA NEGERI 03,JAWA TENGAH,KOTA SEMARANG,SMA
115,69941830,MAN INSAN CENDEKIA PASER,KALIMANTAN TIMUR,KAB. PASER,MA
116,20320392,SMA SEDES SAPIENTIAE JAMBU,JAWA TENGAH,KAB. SEMARANG,SMA
117,20103310,SMAN 54 JAKARTA,DKI JAKARTA,KOTA JAKARTA TIMUR,SMA
118,20100216,SMAN 1 JAKARTA,DKI JAKARTA,KOTA JAKARTA PUSAT,SMA
119,10648016,SMAN SUMATERA SELATAN,SUMATERA SELATAN,KOTA PALEMBANG,SMA
120,20252852,SMAS AL KAHFI,JAWA BARAT,KAB. BOGOR,SMA
121,20532087,SMAS SANTA MARIA,JAWA TIMUR,KOTA SURABAYA,SMA
122,20534388,SMAN 2 KEDIRI,JAWA TIMUR,KOTA KEDIRI,SMA
123,20229157,SMAS ISLAM TERPADU NURUL FIKRI,JAWA BARAT,KOTA DEPOK,SMA
124,20307712,SMAN 1 MUNTILAN,JAWA TENGAH,KAB. MAGELANG,SMA
125,20309676,SMAN 1 KLATEN,JAWA TENGAH,KAB. KLATEN,SMA
126,10210923,SMAS SANTO THOMAS 1 MEDAN,SUMATERA UTARA,KOTA MEDAN,SMA
127,10498812,MAN 2 PEKANBARU,RIAU,KOTA PEKANBARU,MA
128,10210848,SMAS SUTOMO 1,SUMATERA UTARA,KOTA MEDAN,SMA
129,69775444,SMAS IT UMMUL QURO,JAWA BARAT,KOTA BOGOR,SMA
130,69857710,SMA TRENSAINS TEBUIRENG,JAWA TIMUR,KAB. JOMBANG,SMA
131,20103306,SMAN 62 JAKARTA,DKI JAKARTA,KOTA JAKARTA TIMUR,SMA
132,20533665,SMAN 3,JAWA TIMUR,KOTA MALANG,SMA
133,20341603,SMAS AL IRSYAD AL ISLAMIYYAH,JAWA TENGAH,KAB. BANYUMAS,SMA
134,10211691,SMAS BUDI MULIA,SUMATERA UTARA,KOTA PEMATANGSIANTAR,SMA
135,20103304,SMAN 67 JAKARTA,DKI JAKARTA,KOTA JAKARTA TIMUR,SMA
136,20317494,SMAN 1 KUDUS,JAWA TENGAH,KAB. KUDUS,SMA
137,20103298,SMAN 44 JAKARTA,DKI JAKARTA,KOTA JAKARTA TIMUR,SMA
138,10307523,SMAN 1 BUKITTINGGI,SUMATERA BARAT,KOTA BUKITTINGGI,SMA
139,69983967,MAN INSAN CENDEKIA GOWA,SULAWESI SELATAN,KAB. GOWA,MA
140,20401127,SMAN 1 PAKEM,DI YOGYAKARTA,KAB. SLEMAN,SMA
141,20102574,SMAN 6 JAKARTA,DKI JAKARTA,KOTA JAKARTA SELATAN,SMA
142,20402778,SMA NEGERI 2 WATES,DI YOGYAKARTA,KAB. KULON PROGO,SMA
143,20327987,SMAS REGINA PACIS SURAKARTA,JAWA TENGAH,KOTA SURAKARTA,SMA
144,20403145,SMAS STELLA DUCE 1,DI YOGYAKARTA,KOTA YOGYAKARTA,SMA
145,20177932,MAN 4 JAKARTA,DKI JAKARTA,KOTA JAKARTA SELATAN,MA
146,20327564,SMAN 3 MAGELANG,JAWA TENGAH,KOTA MAGELANG,SMA
147,10304887,SMA NEGERI AGAM CENDEKIA,SUMATERA BARAT,KAB. AGAM,SMA
148,20532237,SMAN 15 SURABAYA,JAWA TIMUR,KOTA SURABAYA,SMA
149,20532230,SMAN 2 SURABAYA,JAWA TIMUR,KOTA SURABAYA,SMA
150,20401132,SMAN 2 NGAGLIK,DI YOGYAKARTA,KAB. SLEMAN,SMA
151,20580045,MAN 2 Kota Kediri,JAWA TIMUR,KOTA KEDIRI,MA
152,20613477,SMAN 2 KOTA TANGERANG SELATAN,BANTEN,KOTA TANGERANG SELATAN,SMA
153,20330921,SMA TRENSAINS MUHAMMADIYAH SRAGEN,JAWA TENGAH,KAB. SRAGEN,SMA
154,20327969,SMAN 4 SURAKARTA,JAWA TENGAH,KOTA SURAKARTA,SMA
155,20400406,SMA NEGERI 1 BANGUNTAPAN,DI YOGYAKARTA,KAB. BANTUL,SMA
156,10303462,SMAN 10 PADANG,SUMATERA BARAT,KOTA PADANG,SMA
157,10100170,SMA NEGERI MODAL BANGSA,ACEH,KAB. ACEH BESAR,SMA
158,20200691,SMAN 2 CIBINONG,JAWA BARAT,KAB. BOGOR,SMA
159,20329517,SMA Negeri 1 Pekalongan,JAWA TENGAH,KOTA PEKALONGAN,SMA
160,30105064,SMAS KRISTEN IMMANUEL,KALIMANTAN BARAT,KOTA PONTIANAK,SMA
161,10208520,SMAN 2 BALIGE,SUMATERA UTARA,KAB. TOBA,SMA
162,20328912,SMA SEMESTA,JAWA TENGAH,KOTA SEMARANG,SMA
163,20220342,SMAN 1 BOGOR,JAWA BARAT,KOTA BOGOR,SMA
164,20312200,SMAN 1 KARANGANYAR,JAWA TENGAH,KAB. KARANGANYAR,SMA
165,20254358,SMAS GLOBAL MANDIRI,JAWA BARAT,KAB. BOGOR,SMA
166,20103257,SMAN 98 JAKARTA,DKI JAKARTA,KOTA JAKARTA TIMUR,SMA
167,20339021,SMA NEGERI 1 PATI,JAWA TENGAH,KAB. PATI,SMA
168,10609651,SMA KUSUMA BANGSA PALEMBANG,SUMATERA SELATAN,KOTA PALEMBANG,SMA
169,20302182,SMAN 1 PURWOKERTO,JAWA TENGAH,KAB. BANYUMAS,SMA
170,69765089,SMAS ISLAM ATHIRAH,SULAWESI SELATAN,KAB. BONE,SMA
171,20327970,SMAN 5 SURAKARTA,JAWA TENGAH,KOTA SURAKARTA,SMA
172,20102216,SMAN 3 JAKARTA,DKI JAKARTA,KOTA JAKARTA SELATAN,SMA
173,20231283,SMAS BUNDA HATI KUDUS,JAWA BARAT,KAB. BOGOR,SMA
174,20517739,SMAN 1 LAWANG,JAWA TIMUR,KAB. MALANG,SMA
175,20102219,SMAN 109 JAKARTA,DKI JAKARTA,KOTA JAKARTA SELATAN,SMA
176,20321438,SMA NEGERI 1 TEMANGGUNG,JAWA TENGAH,KAB. TEMANGGUNG,SMA
177,20403176,SMAN 11 YOGYAKARTA,DI YOGYAKARTA,KOTA YOGYAKARTA,SMA
178,40320336,SMAS ZION,SULAWESI SELATAN,KOTA MAKASSAR,SMA
179,20549721,SMAS AL HIKMAH SURABAYA,JAWA TIMUR,KOTA SURABAYA,SMA
180,20308449,SMAN 1 BOYOLALI,JAWA TENGAH,KAB. BOYOLALI,SMA
181,20534124,SMAN 2 MADIUN,JAWA TIMUR,KOTA MADIUN,SMA
182,20403177,SMAN 2 YOGYAKARTA,DI YOGYAKARTA,KOTA YOGYAKARTA,SMA
183,20306807,SMA NEGERI 1 WONOSOBO,JAWA TENGAH,KAB. WONOSOBO,SMA
184,20328896,SMA NEGERI 02,JAWA TENGAH,KOTA SEMARANG,SMA
185,20107277,SMAS AL IZHAR JAKARTA,DKI JAKARTA,KOTA JAKARTA SELATAN,SMA
186,69756117,SMAS AL - AZHAR MANDIRI PALU,SULAWESI TENGAH,KOTA PALU,SMA
187,20102217,SMAN 29 JAKARTA,DKI JAKARTA,KOTA JAKARTA SELATAN,SMA
188,20222365,SMAN 2 CIREBON,JAWA BARAT,KOTA CIREBON,SMA
189,69989336,SMA BUDI CENDEKIA ISLAMIC SCHOOL,JAWA BARAT,KOTA DEPOK,SMA
190,69975824,MAN INSAN CENDEKIA KOTA KENDARI,SULAWESI TENGGARA,KOTA KENDARI,MA
191,20403179,SMAN 4 YOGYAKARTA,DI YOGYAKARTA,KOTA YOGYAKARTA,SMA
192,20246430,SMAS ISLAM DIAN DIDAKTIKA,JAWA BARAT,KOTA DEPOK,SMA
193,10210836,SMAS SUTOMO 2,SUMATERA UTARA,KOTA MEDAN,SMA
194,20504500,SMAN 1 BOJONEGORO,JAWA TIMUR,KAB. BOJONEGORO,SMA
195,20520820,SMAN 2 LUMAJANG,JAWA TIMUR,KAB. LUMAJANG,SMA
196,20223020,SMAN 1 BEKASI,JAWA BARAT,KOTA BEKASI,SMA
197,20223819,SMAN 1 KOTA DEPOK,JAWA BARAT,KOTA DEPOK,SMA
198,10603865,SMA NEGERI 01 PALEMBANG,SUMATERA SELATAN,KOTA PALEMBANG,SMA
199,20525856,SMAN 1 GLAGAH,JAWA TIMUR,KAB. BANYUWANGI,SMA
200,20305010,SMAN 1 KEBUMEN,JAWA TENGAH,KAB. KEBUMEN,SMA
201,20327565,SMAN 4 MAGELANG,JAWA TENGAH,KOTA MAGELANG,SMA
202,20302165,SMAN 2 PURWOKERTO,JAWA TENGAH,KAB. BANYUMAS,SMA
203,20103290,SMAN 105 JAKARTA,DKI JAKARTA,KOTA JAKARTA TIMUR,SMA
204,20303249,SMAN 1 PURBALINGGA,JAWA TENGAH,KAB. PURBALINGGA,SMA
205,20103281,SMAN 31 JAKARTA,DKI JAKARTA,KOTA JAKARTA TIMUR,SMA
206,20409906,SMA KESATUAN BANGSA,DI YOGYAKARTA,KAB. BANTUL,SMA
207,10609704,SMA XAVERIUS 01 PALEMBANG,SUMATERA SELATAN,KOTA PALEMBANG,SMA
208,20101587,SMAN 84 JAKARTA,DKI JAKARTA,KOTA JAKARTA BARAT,SMA
209,20538326,SMAN 2 NGANJUK,JAWA TIMUR,KAB. NGANJUK,SMA
210,20310417,SMAN 1 SUKOHARJO,JAWA TENGAH,KAB. SUKOHARJO,SMA
211,20517730,SMAN 1 KEPANJEN,JAWA TIMUR,KAB. MALANG,SMA
212,10404453,SMAN PLUS PROP RIAU,RIAU,KOTA PEKANBARU,SMA
213,20535050,SMAN 1 BLITAR,JAWA TIMUR,KOTA BLITAR,SMA
214,20606853,SMAN 1 TANGERANG,BANTEN,KOTA TANGERANG,SMA
215,20300617,SMA NEGERI 1 CILACAP,JAWA TENGAH,KAB. CILACAP,SMA
216,20219270,SMAS KRIDA NUSANTARA,JAWA BARAT,KOTA BANDUNG,SMA
217,30401491,SMAN 1 BALIKPAPAN,KALIMANTAN TIMUR,KOTA BALIKPAPAN,SMA
218,20219326,SMAN 8 BANDUNG,JAWA BARAT,KOTA BANDUNG,SMA
219,20103299,SMAN 89 JAKARTA,DKI JAKARTA,KOTA JAKARTA TIMUR,SMA
220,69727602,SMAS AL-IZZAH BATU,JAWA TIMUR,KOTA BATU,SMA
221,20219265,SMAS ST MARIA 1 BANDUNG,JAWA BARAT,KOTA BANDUNG,SMA
222,20403175,SMAN 10 YOGYAKARTA,DI YOGYAKARTA,KOTA YOGYAKARTA,SMA
223,20102573,SMAN 60 JAKARTA,DKI JAKARTA,KOTA JAKARTA SELATAN,SMA
224,20328893,SMA NEGERI 05,JAWA TENGAH,KOTA SEMARANG,SMA
225,20306171,SMAN 7 PURWOREJO,JAWA TENGAH,KAB. PURWOREJO,SMA
226,10807024,SMA S AL KAUTSAR,LAMPUNG,KOTA BANDAR LAMPUNG,SMA
227,69965070,SMA THURSINA IIBS,JAWA TIMUR,KAB. MALANG,SMA
228,20532260,SMAN 6 SURABAYA,JAWA TIMUR,KOTA SURABAYA,SMA
229,20534125,SMAN 1 MADIUN,JAWA TIMUR,KOTA MADIUN,SMA
230,20532236,SMAN 16 SURABAYA,JAWA TIMUR,KOTA SURABAYA,SMA
231,10807016,SMA S XAVERIUS BANDAR LAMPUNG,LAMPUNG,KOTA BANDAR LAMPUNG,SMA
232,20577343,SMAS AR-ROHMAH PUTRI BOARDING SCHOOL DAU,JAWA TIMUR,KAB. MALANG,SMA
233,69759180,SMA ISLAM SINAR CENDEKIA,BANTEN,KOTA TANGERANG SELATAN,SMA
234,20523844,SMAN 1 JEMBER,JAWA TIMUR,KAB. JEMBER,SMA
235,20277214,MAS HUSNUL KHOTIMAH,JAWA BARAT,KAB. KUNINGAN,MA
236,69955659,MAN INSAN CENDEKIA BANGKA TENGAH,KEPULAUAN BANGKA BELITUNG,KAB. BANGKA TENGAH,MA
237,20329847,SMAN 1 TEGAL,JAWA TENGAH,KOTA TEGAL,SMA
238,20542500,SMA NEGERI 1 TRENGGALEK,JAWA TIMUR,KAB. TRENGGALEK,SMA
239,20400391,SMA NEGERI 1 JETIS,DI YOGYAKARTA,KAB. BANTUL,SMA
240,20501706,SMAN 1 SIDOARJO,JAWA TIMUR,KAB. SIDOARJO,SMA
241,20505009,SMAN 1 TUBAN,JAWA TIMUR,KAB. TUBAN,SMA
242,20603342,SMAS ISLAM AL-AZHAR BSD,BANTEN,KOTA TANGERANG SELATAN,SMA
243,20102566,SMAN 82 JAKARTA,DKI JAKARTA,KOTA JAKARTA SELATAN,SMA
244,69786332,SMA ISLAM TERPADU AL USWAH,JAWA TIMUR,KOTA SURABAYA,SMA
245,20327968,SMAN 3 SURAKARTA,JAWA TENGAH,KOTA SURAKARTA,SMA
246,20100797,SMAN 52 JAKARTA,DKI JAKARTA,KOTA JAKARTA UTARA,SMA
247,40301037,SMAN 5 GOWA,SULAWESI SELATAN,KAB. GOWA,SMA
248,20511965,SMAN 2 PARE,JAWA TIMUR,KAB. KEDIRI,SMA
249,20400390,SMA NEGERI 1 KASIHAN,DI YOGYAKARTA,KAB. BANTUL,SMA
250,20276416,SMAS LABSCHOOL CIBUBUR,JAWA BARAT,KOTA BEKASI,SMA
251,20100780,SMAN 80 JAKARTA,DKI JAKARTA,KOTA JAKARTA UTARA,SMA
252,20341554,SMAS IT NURHIDAYAH,JAWA TENGAH,KAB. SUKOHARJO,SMA
253,20102572,SMAN 63 JAKARTA,DKI JAKARTA,KOTA JAKARTA SELATAN,SMA
254,30401787,SMAS YAYASAN PENDIDIKAN VIDYA DAHANA PATRA,KALIMANTAN TIMUR,KOTA BONTANG,SMA
255,69816259,SMA IBNU HAJAR BOARDING SCHOOL,JAWA BARAT,KOTA DEPOK,SMA
256,20102213,SMAN 37 JAKARTA,DKI JAKARTA,KOTA JAKARTA SELATAN,SMA
257,20603371,SMAS PLUS PEMBANGUNAN JAYA,BANTEN,KOTA TANGERANG SELATAN,SMA
258,20328894,SMA NEGERI 04,JAWA TENGAH,KOTA SEMARANG,SMA
259,20606833,SMAS STRADA ST AQUINO,BANTEN,KOTA TANGERANG,SMA
260,20253167,SMAS ISLAM AL-AZHAR 4,JAWA BARAT,KOTA BEKASI,SMA
261,20320242,SMA NEGERI 1 UNGARAN,JAWA TENGAH,KAB. SEMARANG,SMA
262,20536288,SMAN 1 PROBOLINGGO,JAWA TIMUR,KOTA PROBOLINGGO,SMA
263,20327972,SMAN 7 SURAKARTA,JAWA TENGAH,KOTA SURAKARTA,SMA
264,20328892,SMA NEGERI 06,JAWA TENGAH,KOTA SEMARANG,SMA
265,20112433,SMAS JAKARTA ISLAMIC SCHOOL,DKI JAKARTA,KOTA JAKARTA TIMUR,SMA
266,20536817,SMAN 1 BATU,JAWA TIMUR,KOTA BATU,SMA
267,20502726,SMAN 1 PURI,JAWA TIMUR,KAB. MOJOKERTO,SMA
268,10263550,SMAN 2 LINTONGNIHUTA,SUMATERA UTARA,KAB. HUMBANG HASUDUTAN,SMA
269,10263742,MAS PERGURUAN ISLAM AR RISALAH,SUMATERA BARAT,KOTA PADANG,MA
270,20101586,SMAN 85 JAKARTA,DKI JAKARTA,KOTA JAKARTA BARAT,SMA
271,20102210,SMAN 46 JAKARTA,DKI JAKARTA,KOTA JAKARTA SELATAN,SMA
272,20337604,SMK NEGERI 7 SEMARANG,JAWA TENGAH,KOTA SEMARANG,SMK
273,69929336,SMA SCIENCE PLUS BAITUL QURAN BOARDING SCHOOL,JAWA TENGAH,KAB. SRAGEN,SMA
274,20580757,MAS UNGGULAN AMANATUL UMMAH SURABAYA,JAWA TIMUR,KOTA SURABAYA,MA
275,20103280,SMAN 36 JAKARTA,DKI JAKARTA,KOTA JAKARTA TIMUR,SMA
276,20515430,SMAN 1 KEDUNGWARU,JAWA TIMUR,KAB. TULUNGAGUNG,SMA
277,10261532,SMA UNGGULAN CT FOUNDATION,SUMATERA UTARA,KAB. DELI SERDANG,SMA
278,20533640,SMAN 8,JAWA TIMUR,KOTA MALANG,SMA
279,20534389,SMAN 1 KEDIRI,JAWA TIMUR,KOTA KEDIRI,SMA
280,20102562,SMAN 97 JAKARTA,DKI JAKARTA,KOTA JAKARTA SELATAN,SMA
281,20100224,SMAN 30 JAKARTA,DKI JAKARTA,KOTA JAKARTA PUSAT,SMA
282,69964214,SMA NEGERI TARUNA NALA JAWA TIMUR,JAWA TIMUR,KOTA MALANG,SMA
283,20309689,SMAN 2 KLATEN,JAWA TENGAH,KAB. KLATEN,SMA
284,20223817,SMAN 3 KOTA DEPOK,JAWA BARAT,KOTA DEPOK,SMA
285,20200686,SMAS DWI WARNA,JAWA BARAT,KAB. BOGOR,SMA
